parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
0,1,3,6,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,1,3,6,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,1,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
